customer_id,business_name,category,subcategory,scale,location,years_in_business,employees,estimated_daily_customers,avg_order_size,order_frequency,last_order_date,total_orders_ytd,storage_capacity,sustainability_focus,quality_preference,recommended_products,primary_product_categories
CUST_0001,Business_1,Institution,Hospital,Large,Urban,11,108,366,10115.75,Weekly,2024-12-24,25,Large,True,Economy,"Dairy, Fruits, Vegetables","Vegetables, Fruits, Dairy, Grains"
CUST_0002,Business_2,Catering,Meal Delivery Service,Large,Rural,26,111,999,38455.85,Bi-weekly,2024-12-24,32,Large,True,Standard,"Meat, Vegetables, Beverages","Vegetables, Meat, Seafood, Beverages"
CUST_0003,Business_3,Bakery,Pastry Shop,Small,Suburban,11,11,55,856.86,Bi-weekly,2024-12-24,44,Large,False,Economy,"Dairy, Fruits, Grains","Grains, Dairy, Fruits"
CUST_0004,Business_4,Hotel,Business Hotel,Small,Rural,12,7,34,506.0,Bi-weekly,2024-12-24,35,Limited,False,Standard,"Meat, Vegetables, Seafood","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0005,Business_5,Institution,Corporate Cafeteria,Large,Suburban,14,146,603,20708.16,Bi-weekly,2024-12-24,18,Large,False,Standard,"Grains, Vegetables, Fruits","Vegetables, Fruits, Dairy, Grains"
CUST_0006,Business_6,Institution,University Dining,Large,Suburban,25,140,782,16870.71,Monthly,2024-12-24,43,Large,False,Standard,"Vegetables, Grains, Fruits","Vegetables, Fruits, Dairy, Grains"
CUST_0007,Business_7,Bakery,Wholesale Bakery,Large,Urban,17,129,332,7810.91,Bi-weekly,2024-12-24,16,Large,False,Economy,"Dairy, Fruits, Grains","Grains, Dairy, Fruits"
CUST_0008,Business_8,Catering,Food Truck,Medium,Suburban,5,33,157,3022.24,Bi-weekly,2024-12-24,44,Limited,True,Premium,"Meat, Seafood, Vegetables","Vegetables, Meat, Seafood, Beverages"
CUST_0009,Business_9,Restaurant,Ethnic Restaurant,Large,Urban,3,121,440,9937.15,Monthly,2024-12-24,12,Limited,True,Standard,"Dairy, Grains, Meat","Vegetables, Meat, Dairy, Grains"
CUST_0010,Business_10,Restaurant,Pizza Restaurant,Small,Urban,3,8,22,381.49,Bi-weekly,2024-12-24,11,Large,True,Economy,"Dairy, Meat, Vegetables","Vegetables, Meat, Dairy, Grains"
CUST_0011,Business_11,Catering,Meal Delivery Service,Medium,Urban,11,49,144,2227.44,Weekly,2024-12-24,11,Medium,False,Standard,"Beverages, Vegetables, Seafood","Vegetables, Meat, Seafood, Beverages"
CUST_0012,Business_12,Bakery,Cafe-Bakery,Small,Urban,29,10,21,363.37,Bi-weekly,2024-12-24,26,Limited,False,Standard,"Grains, Fruits, Dairy","Grains, Dairy, Fruits"
CUST_0013,Business_13,Bakery,Pastry Shop,Medium,Suburban,24,37,232,3967.18,Monthly,2024-12-24,48,Limited,False,Economy,"Grains, Dairy, Fruits","Grains, Dairy, Fruits"
CUST_0014,Business_14,Hotel,Luxury Hotel,Large,Rural,6,145,805,25463.18,Bi-weekly,2024-12-24,16,Large,False,Standard,"Meat, Fruits, Seafood","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0015,Business_15,Bakery,Pastry Shop,Medium,Rural,23,22,177,3619.62,Weekly,2024-12-24,10,Limited,False,Standard,"Fruits, Dairy, Grains","Grains, Dairy, Fruits"
CUST_0016,Business_16,Restaurant,Fine Dining,Small,Rural,28,16,36,591.76,Bi-weekly,2024-12-24,12,Large,True,Economy,"Meat, Fruits, Dairy","Vegetables, Fruits, Meat, Seafood, Dairy"
CUST_0017,Business_17,Institution,Corporate Cafeteria,Medium,Urban,23,21,104,2120.56,Bi-weekly,2024-12-24,46,Medium,False,Standard,"Fruits, Grains, Vegetables","Vegetables, Fruits, Dairy, Grains"
CUST_0018,Business_18,Hotel,Resort,Small,Urban,1,15,64,876.97,Monthly,2024-12-24,12,Medium,True,Premium,"Vegetables, Seafood, Beverages","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0019,Business_19,Catering,Corporate Catering,Medium,Urban,13,37,268,6061.79,Monthly,2024-12-24,23,Limited,False,Standard,"Meat, Beverages, Seafood","Vegetables, Meat, Seafood, Beverages"
CUST_0020,Business_20,Catering,Event Catering,Small,Rural,26,8,60,1055.23,Weekly,2024-12-24,20,Medium,True,Standard,"Beverages, Seafood, Vegetables","Vegetables, Meat, Seafood, Beverages"
CUST_0021,Business_21,Restaurant,Seafood Restaurant,Small,Rural,8,13,71,1622.37,Bi-weekly,2024-12-24,35,Large,False,Premium,"Dairy, Grains, Vegetables","Vegetables, Meat, Dairy, Grains"
CUST_0022,Business_22,Catering,Wedding Catering,Medium,Urban,27,45,258,5148.88,Bi-weekly,2024-12-24,12,Medium,True,Standard,"Beverages, Seafood, Meat","Vegetables, Meat, Seafood, Beverages"
CUST_0023,Business_23,Bakery,Pastry Shop,Small,Suburban,2,11,90,1288.88,Monthly,2024-12-24,41,Large,False,Standard,"Dairy, Grains, Fruits","Grains, Dairy, Fruits"
CUST_0024,Business_24,Institution,University Dining,Medium,Urban,24,26,277,5864.19,Monthly,2024-12-24,32,Large,True,Premium,"Dairy, Fruits, Vegetables","Vegetables, Fruits, Dairy, Grains"
CUST_0025,Business_25,Hotel,Extended Stay Hotel,Large,Urban,17,89,858,31817.68,Bi-weekly,2024-12-24,35,Large,True,Standard,"Beverages, Vegetables, Meat","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0026,Business_26,Restaurant,Casual Dining,Small,Urban,10,6,96,2116.31,Monthly,2024-12-24,22,Limited,False,Economy,"Grains, Vegetables, Dairy","Vegetables, Meat, Dairy, Grains"
CUST_0027,Business_27,Restaurant,Casual Dining,Small,Suburban,18,10,87,1651.1,Monthly,2024-12-24,22,Large,True,Economy,"Grains, Meat, Vegetables","Vegetables, Meat, Dairy, Grains"
CUST_0028,Business_28,Bakery,Wholesale Bakery,Small,Suburban,11,15,56,912.67,Bi-weekly,2024-12-24,33,Large,False,Standard,"Dairy, Fruits, Grains","Grains, Dairy, Fruits"
CUST_0029,Business_29,Restaurant,Fine Dining,Large,Suburban,18,145,369,12593.97,Bi-weekly,2024-12-24,43,Limited,True,Standard,"Seafood, Fruits, Dairy","Vegetables, Fruits, Meat, Seafood, Dairy"
CUST_0030,Business_30,Institution,Nursing Home,Small,Rural,16,6,35,456.15,Weekly,2024-12-24,19,Medium,False,Standard,"Dairy, Grains, Fruits","Vegetables, Fruits, Dairy, Grains"
CUST_0031,Business_31,Institution,Nursing Home,Large,Suburban,10,147,717,24995.77,Weekly,2024-12-24,47,Medium,False,Standard,"Dairy, Vegetables, Grains","Vegetables, Fruits, Dairy, Grains"
CUST_0032,Business_32,Hotel,Boutique Hotel,Medium,Suburban,12,49,268,6498.57,Weekly,2024-12-24,34,Medium,False,Standard,"Dairy, Meat, Fruits","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0033,Business_33,Bakery,Cafe-Bakery,Small,Urban,24,9,82,996.98,Weekly,2024-12-24,14,Large,False,Economy,"Fruits, Dairy, Grains","Grains, Dairy, Fruits"
CUST_0034,Business_34,Institution,Corporate Cafeteria,Medium,Rural,3,43,133,2823.67,Weekly,2024-12-24,39,Limited,True,Premium,"Fruits, Dairy, Grains","Vegetables, Fruits, Dairy, Grains"
CUST_0035,Business_35,Institution,Hospital,Large,Rural,13,97,698,23638.38,Monthly,2024-12-24,47,Medium,True,Premium,"Dairy, Fruits, Vegetables","Vegetables, Fruits, Dairy, Grains"
CUST_0036,Business_36,Restaurant,Seafood Restaurant,Large,Urban,21,114,434,13649.73,Monthly,2024-12-24,36,Medium,False,Economy,"Grains, Meat, Dairy","Vegetables, Meat, Dairy, Grains"
CUST_0037,Business_37,Bakery,Wholesale Bakery,Large,Urban,1,62,990,38385.09,Weekly,2024-12-24,12,Medium,True,Standard,"Grains, Dairy, Fruits","Grains, Dairy, Fruits"
CUST_0038,Business_38,Hotel,Business Hotel,Medium,Urban,16,21,157,3914.03,Bi-weekly,2024-12-24,35,Limited,True,Economy,"Fruits, Meat, Seafood","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0039,Business_39,Bakery,Artisan Bakery,Small,Urban,1,12,71,1274.91,Bi-weekly,2024-12-24,46,Limited,True,Standard,"Dairy, Fruits, Grains","Grains, Dairy, Fruits"
CUST_0040,Business_40,Restaurant,Ethnic Restaurant,Small,Suburban,15,11,69,1257.0,Bi-weekly,2024-12-24,49,Limited,True,Economy,"Vegetables, Meat, Grains","Vegetables, Meat, Dairy, Grains"
CUST_0041,Business_41,Bakery,Artisan Bakery,Small,Rural,11,10,91,1706.52,Monthly,2024-12-24,17,Large,True,Premium,"Dairy, Fruits, Grains","Grains, Dairy, Fruits"
CUST_0042,Business_42,Bakery,Artisan Bakery,Large,Suburban,5,124,858,25305.89,Bi-weekly,2024-12-24,11,Medium,False,Economy,"Fruits, Grains, Dairy","Grains, Dairy, Fruits"
CUST_0043,Business_43,Institution,Corporate Cafeteria,Medium,Rural,6,22,259,5503.83,Weekly,2024-12-24,22,Large,True,Premium,"Grains, Dairy, Fruits","Vegetables, Fruits, Dairy, Grains"
CUST_0044,Business_44,Hotel,Extended Stay Hotel,Large,Urban,14,76,648,26059.11,Bi-weekly,2024-12-24,40,Medium,True,Standard,"Fruits, Meat, Beverages","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0045,Business_45,Restaurant,Steakhouse,Small,Rural,5,5,95,1994.75,Weekly,2024-12-24,37,Limited,False,Premium,"Meat, Dairy, Vegetables","Vegetables, Meat, Dairy, Grains"
CUST_0046,Business_46,Institution,University Dining,Large,Rural,5,85,988,31413.52,Monthly,2024-12-24,42,Medium,False,Premium,"Vegetables, Fruits, Grains","Vegetables, Fruits, Dairy, Grains"
CUST_0047,Business_47,Catering,Meal Delivery Service,Medium,Suburban,28,35,283,4929.88,Bi-weekly,2024-12-24,43,Large,False,Standard,"Beverages, Meat, Seafood","Vegetables, Meat, Seafood, Beverages"
CUST_0048,Business_48,Restaurant,Seafood Restaurant,Large,Urban,25,138,320,9523.21,Weekly,2024-12-24,43,Medium,True,Standard,"Dairy, Meat, Grains","Vegetables, Meat, Dairy, Grains"
CUST_0049,Business_49,Institution,Nursing Home,Medium,Rural,23,46,249,6612.32,Weekly,2024-12-24,25,Medium,True,Premium,"Grains, Dairy, Vegetables","Vegetables, Fruits, Dairy, Grains"
CUST_0050,Business_50,Catering,Meal Delivery Service,Large,Urban,7,67,718,14669.99,Bi-weekly,2024-12-24,12,Medium,False,Standard,"Beverages, Vegetables, Meat","Vegetables, Meat, Seafood, Beverages"
CUST_0051,Business_51,Restaurant,Casual Dining,Small,Urban,14,11,54,880.37,Weekly,2024-12-24,26,Medium,True,Economy,"Meat, Grains, Vegetables","Vegetables, Meat, Dairy, Grains"
CUST_0052,Business_52,Hotel,Luxury Hotel,Medium,Suburban,2,25,172,3693.95,Monthly,2024-12-24,36,Medium,False,Standard,"Beverages, Seafood, Fruits","Vegetables, Fruits, Meat, Seafood, Dairy, Beverages"
CUST_0053,Business_53,Institution,School Cafeteria,Small,Urban,7,18,41,714.49,Monthly,2024-12-24,35,Limited,True,Premium,"Dairy, Vegetables, Grains","Vegetables, Fruits, Dairy, Grains"
